image_path,n,n0,n1,B0min,B0mean,B1min,B1mean,D1mean,P1mean,P1max,dim0_n30,dim0_n60,dim0_n90,dim0_n120,dim0_n150,dim0_n180,dim0_n210,dim0_n240,dim0_nlarger,dim0_P10,dim1_n30,dim1_n60,dim1_n90,dim1_n120,dim1_n150,dim1_n180,dim1_n210,dim1_n240,dim1_nlarger,dim1_P10,n,n0,n1,B0min,B0mean,B1min,B1mean,D1mean,P1mean,P1max,dim0_n30,dim0_n60,dim0_n90,dim0_n120,dim0_n150,dim0_n180,dim0_n210,dim0_n240,dim0_nlarger,dim0_P10,dim1_n30,dim1_n60,dim1_n90,dim1_n120,dim1_n150,dim1_n180,dim1_n210,dim1_n240,dim1_nlarger,dim1_P10,n,n0,n1,B0min,B0mean,B1min,B1mean,D1mean,P1mean,P1max,dim0_n30,dim0_n60,dim0_n90,dim0_n120,dim0_n150,dim0_n180,dim0_n210,dim0_n240,dim0_nlarger,dim0_P10,dim1_n30,dim1_n60,dim1_n90,dim1_n120,dim1_n150,dim1_n180,dim1_n210,dim1_n240,dim1_nlarger,dim1_P10,label
01_TUMOR/tumor (115).tif,1448,666,782,17.0,61.554054054054056,39.0,105.72250639386189,120.76470588235294,15.042199488491049,154.0,69,341,145,65,26,11,6,3,0,255,0,79,246,201,169,38,29,17,3,350,1849,837,1012,0.0,19.459976105137397,9.0,42.351778656126484,51.101778656126484,8.75,160.0,716,94,17,5,2,2,0,1,0,167,391,494,70,20,19,6,3,9,0,276,1649,738,911,27.0,60.59756097560975,41.0,88.45554335894622,98.02305159165752,9.567508232711306,122.0,7,437,235,33,15,8,1,2,0,190,0,105,462,259,40,26,7,12,0,287,1
01_TUMOR/tumor (116).tif,2470,1054,1416,28.0,141.74857685009488,42.0,174.91031073446328,186.0204802259887,11.110169491525424,83.0,4,32,51,103,350,480,34,0,0,352,0,5,7,55,138,542,596,68,5,546,2532,1072,1460,9.0,71.19029850746269,22.0,100.93424657534247,111.05616438356165,10.121917808219179,130.0,68,227,577,187,12,1,0,0,0,319,10,91,377,671,269,37,3,2,0,496,2666,1106,1560,44.0,116.69891500904158,66.0,145.3948717948718,155.10641025641024,9.711538461538462,97.0,0,14,108,484,461,39,0,0,0,350,0,0,17,176,753,528,79,7,0,541,1
01_TUMOR/tumor (117).tif,2393,1020,1373,22.0,107.51764705882353,46.0,147.50837581937364,161.33940276766205,13.83102694828842,124.0,4,179,188,230,318,39,21,41,0,427,0,4,110,222,453,375,47,144,18,627,2446,1076,1370,7.0,53.850371747211895,20.0,89.16350364963503,101.87226277372262,12.70875912408759,154.0,275,469,264,20,7,5,7,29,0,397,15,276,712,185,39,21,20,102,0,572,2554,1112,1442,41.0,105.57464028776978,75.0,140.14771151178917,152.374479889043,12.226768377253814,118.0,0,36,339,523,134,21,15,44,0,429,0,0,37,359,730,129,38,147,2,606,1
01_TUMOR/tumor (118).tif,1422,639,783,24.0,75.83568075117371,41.0,119.71647509578544,130.01787994891444,10.301404853128991,151.0,12,337,138,53,35,26,25,13,0,204,0,67,255,185,71,51,52,86,16,273,1519,691,828,8.0,42.75397973950796,20.0,79.5048309178744,88.20652173913044,8.701690821256038,124.0,370,209,44,24,13,15,13,3,0,165,61,408,147,47,40,32,36,57,0,240,1574,732,842,52.0,98.55874316939891,71.0,132.18646080760095,141.20783847980996,9.021377672209026,105.0,0,35,372,185,64,29,30,17,0,197,0,0,108,350,156,76,57,87,8,267,1
01_TUMOR/tumor (119).tif,1303,568,735,19.0,71.34507042253522,34.0,108.33877551020409,118.9360544217687,10.597278911564626,142.0,39,317,85,49,21,17,8,32,0,178,0,142,246,123,81,41,21,56,25,254,1881,881,1000,0.0,17.166855845629964,6.0,34.196,39.651,5.455,210.0,804,43,7,1,2,2,13,9,0,66,742,162,33,7,5,1,6,44,0,145,1479,673,806,17.0,50.15156017830609,28.0,72.10794044665012,78.6923076923077,6.584367245657568,183.0,109,464,53,12,4,1,16,14,0,102,1,496,186,40,15,4,5,59,0,158,1
01_TUMOR/tumor (12).tif,1842,797,1045,24.0,74.6323713927227,45.0,120.67751196172249,135.00478468899522,14.327272727272728,158.0,10,304,278,149,40,5,7,4,0,328,0,11,186,384,299,79,45,40,1,441,2066,906,1160,0.0,34.8233995584989,17.0,68.38879310344828,79.96637931034483,11.577586206896552,171.0,443,401,43,7,8,1,2,1,0,279,37,586,358,78,44,18,25,14,0,405,2070,895,1175,48.0,87.37653631284917,66.0,121.40595744680851,132.85617021276596,11.450212765957447,129.0,0,68,503,269,32,14,6,3,0,292,0,0,96,621,300,87,39,32,0,436,1
01_TUMOR/tumor (120).tif,1949,838,1111,19.0,106.01670644391407,35.0,141.63726372637262,151.64896489648964,10.011701170117012,116.0,11,102,214,275,111,59,26,40,0,265,0,8,72,322,339,167,82,116,5,399,2123,962,1161,0.0,29.927234927234927,7.0,52.59000861326443,60.256675279931095,7.666666666666667,159.0,674,216,41,11,3,4,4,9,0,182,262,667,114,48,7,11,13,39,0,303,2086,929,1157,20.0,70.03552206673842,32.0,95.23595505617978,103.26620570440795,8.030250648228176,116.0,18,385,394,70,29,7,14,12,0,199,0,72,668,223,88,32,23,51,0,328,1
01_TUMOR/tumor (121).tif,2060,880,1180,22.0,99.46818181818182,40.0,141.06440677966103,153.02372881355933,11.959322033898305,134.0,10,162,249,223,114,62,27,32,1,343,0,7,90,352,341,164,97,106,23,464,2381,1058,1323,0.0,30.87523629489603,12.0,57.471655328798185,65.82690854119426,8.35525321239607,144.0,739,234,42,13,14,3,1,12,0,231,191,817,170,42,20,15,18,50,0,370,2315,1028,1287,32.0,71.0807392996109,43.0,100.86402486402487,109.7995337995338,8.935508935508935,136.0,0,418,467,80,26,14,5,18,0,283,0,36,672,356,83,39,39,61,1,410,1
01_TUMOR/tumor (122).tif,1313,566,747,19.0,100.2756183745583,30.0,141.63721552878178,149.21017402945114,7.572958500669344,69.0,58,236,76,20,18,10,18,130,0,139,2,113,224,77,10,9,17,256,39,179,1426,613,813,0.0,60.66068515497553,11.0,105.33702337023371,111.37515375153751,6.038130381303813,50.0,377,99,10,12,4,14,14,83,0,117,142,340,35,7,7,10,10,262,0,149,1447,629,818,27.0,112.68203497615262,50.0,149.9914425427873,156.7359413202934,6.744498777506112,56.0,1,134,237,59,21,16,31,130,0,128,0,12,223,195,35,16,25,304,8,173,1
01_TUMOR/tumor (123).tif,1770,752,1018,25.0,105.79787234042553,45.0,145.2730844793713,155.86640471512771,10.593320235756385,135.0,21,197,110,179,88,57,25,75,0,256,0,32,140,197,259,112,89,167,22,369,1965,836,1129,0.0,47.76555023923445,9.0,74.96014171833481,82.17094774136405,7.210806023029229,130.0,448,235,48,21,7,3,21,53,0,188,177,533,169,71,26,6,13,134,0,279,1849,802,1047,29.0,88.02493765586036,50.0,120.15950334288443,128.25692454632284,8.097421203438396,116.0,4,245,321,102,41,15,25,49,0,204,0,20,324,387,86,50,18,162,0,287,1
01_TUMOR/tumor (124).tif,1713,748,965,27.0,59.51069518716577,48.0,87.21658031088083,95.9139896373057,8.69740932642487,111.0,4,440,273,30,1,0,0,0,0,214,0,52,547,315,46,5,0,0,0,265,1987,882,1105,0.0,21.577097505668934,12.0,39.739366515837105,47.022624434389144,7.283257918552036,96.0,737,142,3,0,0,0,0,0,0,159,284,743,73,4,1,0,0,0,0,253,1849,806,1043,41.0,69.8970223325062,58.0,91.95014381591562,99.49664429530202,7.546500479386386,88.0,0,168,594,44,0,0,0,0,0,173,0,3,531,454,52,3,0,0,0,252,1
01_TUMOR/tumor (125).tif,1783,766,1017,15.0,74.22715404699738,35.0,119.67944936086529,133.44837758112095,13.768928220255654,177.0,79,371,149,56,26,9,5,71,0,242,0,135,284,234,106,72,20,137,29,402,2319,1037,1282,0.0,21.138862102217935,7.0,51.06864274570983,59.3377535101404,8.269110764430577,198.0,926,56,11,0,1,0,0,43,0,144,789,282,38,16,9,6,8,134,0,280,1981,889,1092,17.0,57.647919010123736,32.0,90.81959706959707,100.97069597069597,10.151098901098901,167.0,140,557,107,20,2,1,3,59,0,190,0,395,409,88,30,10,15,145,0,323,1
01_TUMOR/tumor (126).tif,1837,789,1048,21.0,63.27629911280101,42.0,103.3912213740458,116.32824427480917,12.937022900763358,144.0,29,408,254,75,13,4,2,4,0,273,0,57,377,362,151,56,19,24,2,394,2027,890,1137,6.0,34.59550561797753,16.0,67.75637642919965,78.98592788038698,11.229551451187335,163.0,435,398,45,6,3,0,3,0,0,252,30,521,438,75,33,16,11,13,0,403,2016,856,1160,39.0,88.04088785046729,67.0,122.26206896551724,133.34224137931034,11.080172413793104,129.0,0,44,473,304,26,4,2,3,0,288,0,0,90,540,387,89,31,23,0,417,1
01_TUMOR/tumor (127).tif,1739,785,954,8.0,60.87898089171974,26.0,107.36792452830188,122.43396226415095,15.066037735849056,145.0,50,444,152,103,28,5,3,0,0,288,1,96,287,243,194,76,40,14,3,406,2227,1022,1205,0.0,13.46477495107632,4.0,36.409958506224065,46.054771784232365,9.644813278008298,189.0,932,79,9,1,1,0,0,0,0,162,636,434,73,32,19,6,4,1,0,328,1983,879,1104,13.0,48.629124004550626,23.0,77.7590579710145,88.19565217391305,10.43659420289855,151.0,75,626,154,17,6,1,0,0,0,197,1,310,547,153,55,29,6,3,0,327,1
01_TUMOR/tumor (128).tif,1552,670,882,21.0,75.54029850746268,35.0,112.03854875283447,123.56235827664399,11.523809523809524,142.0,16,226,215,166,39,6,2,0,0,201,0,36,173,345,238,63,24,3,0,299,1901,873,1028,0.0,18.647193585337916,6.0,39.43385214007782,48.3239299610895,8.890077821011673,159.0,740,120,12,1,0,0,0,0,0,118,408,494,89,18,15,2,2,0,0,238,1655,735,920,16.0,55.71700680272109,32.0,83.60434782608695,93.49347826086957,9.889130434782608,136.0,27,437,242,28,1,0,0,0,0,153,0,124,545,173,46,23,7,2,0,250,1
01_TUMOR/tumor (129).tif,1825,784,1041,21.0,73.89668367346938,36.0,118.21805955811719,131.96829971181558,13.750240153698368,142.0,25,288,268,131,50,13,9,0,0,290,0,25,181,426,241,102,44,22,0,410,1938,858,1080,0.0,32.91142191142191,13.0,66.02777777777777,78.41481481481482,12.387037037037038,175.0,474,305,68,6,5,0,0,0,0,243,62,529,319,100,33,20,11,6,0,367,2049,891,1158,37.0,85.81818181818181,52.0,120.83506044905009,132.0984455958549,11.263385146804836,137.0,0,112,456,249,57,14,3,0,0,268,0,3,117,554,330,98,42,14,0,413,1
01_TUMOR/tumor (13).tif,1689,762,927,26.0,78.29002624671917,46.0,121.50269687162891,133.6332254584682,12.130528586839267,168.0,4,442,159,29,27,20,29,52,0,265,0,37,413,153,80,21,48,151,24,372,2129,978,1151,0.0,19.085889570552148,9.0,45.460469157254565,51.94092093831451,6.480451781059948,171.0,895,38,7,6,4,0,5,23,0,99,799,176,28,25,17,11,11,84,0,206,1783,792,991,20.0,52.53914141414141,31.0,83.76589303733603,91.58728557013119,7.821392532795157,135.0,46,634,49,14,12,5,6,26,0,152,0,508,271,42,30,20,18,102,0,236,1
01_TUMOR/tumor (130).tif,1870,796,1074,15.0,82.2927135678392,28.0,132.09683426443203,145.51117318435755,13.414338919925513,159.0,43,293,219,117,40,19,19,46,0,314,2,32,206,323,209,79,42,177,4,424,1944,857,1087,2.0,38.582263710618435,11.0,80.45078196872124,92.3376264949402,11.886844526218951,189.0,517,247,26,21,3,5,3,35,0,234,86,513,233,64,23,22,23,123,0,358,1972,843,1129,28.0,93.13285883748517,44.0,132.4269264836138,144.1718334809566,11.744906997342781,134.0,1,142,417,159,28,22,14,60,0,290,0,8,133,497,217,59,41,172,2,405,1
01_TUMOR/tumor (131).tif,1560,663,897,16.0,110.27300150829562,31.0,154.66778149386846,163.72909698996656,9.061315496098105,135.0,64,198,82,62,40,47,47,121,2,182,0,76,176,110,73,74,71,241,76,257,1775,805,970,0.0,31.932919254658383,6.0,69.32886597938145,75.55463917525773,6.225773195876289,98.0,645,65,19,10,5,2,2,57,0,84,531,154,51,27,8,15,12,172,0,172,1523,671,852,11.0,72.78986587183309,22.0,113.06338028169014,120.51291079812206,7.449530516431925,92.0,105,333,84,35,19,11,9,75,0,113,7,298,178,77,33,24,21,214,0,196,1
01_TUMOR/tumor (132).tif,2084,892,1192,20.0,87.08632286995515,49.0,128.28271812080536,142.18456375838926,13.901845637583893,148.0,11,295,243,194,44,44,52,9,0,386,0,20,183,429,312,61,72,113,2,498,2189,964,1225,4.0,48.00726141078838,19.0,79.16326530612245,91.04408163265306,11.880816326530612,179.0,393,413,51,16,24,37,25,5,0,310,33,530,415,74,17,33,82,41,0,439,2197,934,1263,41.0,100.46252676659529,60.0,133.4251781472684,145.12114014251782,11.695961995249407,130.0,0,60,414,296,45,33,66,20,0,369,0,2,70,558,366,64,59,144,0,468,1
01_TUMOR/tumor (133).tif,1830,806,1024,17.0,72.73449131513648,37.0,109.296875,119.8740234375,10.5771484375,132.0,11,327,302,101,37,16,9,3,0,239,0,59,304,364,147,68,59,23,0,374,2164,973,1191,0.0,21.616649537512846,8.0,43.85726280436608,51.70361041141898,7.846347607052897,171.0,793,144,30,3,2,1,0,0,0,182,415,600,88,44,21,16,5,2,0,279,1978,875,1103,28.0,69.74171428571428,48.0,96.08522212148685,104.51858567543064,8.43336355394379,136.0,2,311,472,56,25,7,2,0,0,203,0,33,552,348,88,54,25,3,0,304,1
01_TUMOR/tumor (134).tif,1879,785,1094,20.0,78.2203821656051,35.0,123.61151736745887,134.8418647166362,11.23034734917733,128.0,14,281,269,137,45,16,15,6,2,280,0,29,222,388,202,110,64,54,25,409,1951,835,1116,8.0,48.280239520958084,22.0,87.40053763440861,97.61648745519713,10.21594982078853,127.0,233,422,116,35,15,7,5,2,0,245,14,299,453,152,81,41,30,46,0,374,2058,885,1173,40.0,102.28813559322033,61.0,139.64023870417734,149.87894288150042,10.238704177323104,108.0,0,30,286,402,105,42,14,6,0,280,0,0,37,340,472,158,89,72,5,423,1
01_TUMOR/tumor (135).tif,1578,690,888,16.0,59.94492753623189,29.0,116.18243243243244,130.0596846846847,13.877252252252251,165.0,87,354,135,79,18,13,3,1,0,249,1,90,220,233,156,64,66,48,10,355,2028,922,1106,0.0,12.494577006507592,6.0,39.58047016274865,48.424050632911396,8.843580470162749,181.0,865,51,4,2,0,0,0,0,0,151,618,332,56,42,25,18,3,12,0,268,1816,813,1003,8.0,48.51291512915129,29.0,82.69491525423729,92.30209371884347,9.607178464606182,151.0,93,561,129,17,10,0,2,1,0,190,1,287,458,115,72,42,14,14,0,278,1
01_TUMOR/tumor (136).tif,1582,691,891,14.0,67.84081041968162,31.0,124.82042648709316,140.01683501683502,15.196408529741863,151.0,97,277,140,101,50,17,7,2,0,271,0,96,161,171,209,121,76,46,11,377,2046,961,1085,0.0,16.014568158168576,6.0,42.44700460829493,52.339170506912446,9.892165898617511,201.0,843,100,13,4,0,1,0,0,0,141,520,386,76,52,16,11,13,11,0,277,1786,803,983,16.0,51.57534246575342,28.0,85.36724313326552,95.95625635808749,10.589013224821974,174.0,92,500,157,42,10,2,0,0,0,198,4,271,410,141,78,40,22,17,0,293,1
01_TUMOR/tumor (137).tif,1750,768,982,19.0,75.05729166666667,40.0,129.9378818737271,150.23217922606923,20.29429735234216,141.0,15,320,208,149,44,21,8,3,0,368,0,20,148,284,253,142,78,54,3,495,2073,965,1108,0.0,23.61761658031088,10.0,55.39350180505415,70.03339350180505,14.639891696750903,183.0,735,194,30,4,1,1,0,0,0,254,187,592,199,76,32,12,7,3,0,438,1910,866,1044,27.0,65.5635103926097,44.0,103.3860153256705,118.45114942528735,15.065134099616857,138.0,2,411,360,74,14,4,1,0,0,303,0,19,401,392,144,60,23,5,0,440,1
